		


			   X 10  9  2  5  3  7  101  18]	
			X 0   0  0  0  0  0  0    0    0  			
			2  0   0 0   1  1  1   1   1    1 
                                                3  0   0  0  1   1  2  2   2     2    
                                                5  0   0   0  1  2  2  2   2    2
                                                7  0   0   0  1  2  2  3   3    3  
                                                9  0    0  0  1   2  2  3  3    3 
                                               10 0    1   1  1  2   2  3  3    3  
                                               18 0    1   1  1  2   2  3  3   4
                                              101 0   1   1  1   2  2   3  4  4


			
			   X 10  9  2  5  3  7  101  18]	
			X 0   0  0  0  0  0  0    0    0  			
			2  0   0 0   1  1  1   1   1    1 
                                                3  0   0  0  1   1  2  2   2     2    
                                                3  0   0  0   1  1  2  2   2    2
                                                5  0   0   0  1  2  2  2   2    2
                                                7  0   0   0  1  2  2  3   3    3  
                                                9  0    0  0  1   2  2  3  3    3 
                                               10 0    1   1  1  2   2  3  3    3  
                                               18 0    1   1  1  2   2  3  3   4
                                              101 0   1   1  1   2  2   3  4  4
